item,price
خل رنا اسود 180مل,SR 2.60 ريال
صلصة فرشلي ايطالية 237مل,SR 8.35 ريال
شطة بيدر حارة 88مل,SR 1.32 ريال
شطة تباسكو فلفل 350مل,SR 42.90 ريال
طرشي الجمل فلفل 380 جرام,SR 5.20 ريال
مايونيز مازولا ليمون 340مل,SR 10.45 ريال
مايونيز فرشلي 946مل,SR 15.70 ريال
شطة رنا خضراء هلابينو 88مل,SR 3.75 ريال
كاتشب طماطم السعودية 340 جرام,SR 5.25 ريال
شطة كريستال حار 176مل,SR 2.95 ريال
شطة كريستال حار 474مل,SR 5.52 ريال
مايونيز قودي 473مل,SR 9.95 ريال
شطة رنا حارة 176مل,SR 2.15 ريال
خردل قودي عصار 255 جرام,SR 4.50 ريال
طرشي الجمل مانجو 400 جرام,SR 5.20 ريال
طرشي حدائق شتورة مشكل 350 جرام,SR 4.15 ريال
مايونيز قودي عصار 326مل,SR 12.55 ريال
طرشي حدائق شتورة مشكل 600 جرام,SR 8.35 ريال
صلصة طماطم ندى 135 جرام,SR 1.25 ريال
طرشي بيدر مشكل 660 جرام,SR 8.35 ريال
شطة رنا خضراء حارة 250 جرام,SR 5.75 ريال
صلصة طماطم هالي 135 جرام,SR 1.05 ريال
رقائق ثوم الفية ملون 250 جرام,SR 3.95 ريال
معجون طماطم كي دي دي 135 جرام,SR 1.40 ريال
صلصة طماطم هاينز 8*135 جرام,SR 8.50 ريال
معجون طماطم لونا 8×135جرام,SR 7.30 ريال
مايونيز قودي فلفل حار 326مل,SR 11.95 ريال
معجون طماطم العلالي 8 * 130جرام,SR 13.92 ريال
صلصة صويا مكاتي تويو منسي750مل,SR 8.35 ريال
ورق عنب دينز 1100 جرام,SR 11.95 ريال
صلصلة مكاتي متعددة الاستعمالات 310ج جرام,SR 5.52 ريال
مخلل رنا خيار 660 جرام,SR 7.50 ريال
مخلل رنا خضار مشكل 370 جرام,SR 3.75 ريال
مخلل رنا خضار مشكل 660 جرام,SR 6.50 ريال
مخلل بيراك فلفل حار زجاج 370 جرام,SR 4.50 ريال
مخلل بيراك بنجر زجاج 370 جرام,SR 4.95 ريال
مخلل بيراك بصل فضي 370 جرام,SR 4.95 ريال
مخلل بيراك الكباري 314 جرام,SR 6.50 ريال
ورق عنب العلالي 970 جرام,SR 23.95 ريال
ورق عنب الريف 1 كيلو,SR 19.90 ريال
مخلل بيراك خيار زجاج 720 جرام,SR 6.50 ريال
مخلل بيراك خيار زجاج 370 جرام,SR 4.95 ريال
مخلل بيراك خيار ناعم 370 جرام,SR 6.00 ريال
مخلل بيراك مشكل زجاج 720 جرام,SR 6.00 ريال
مخلل بيراك فلفل جلابينو 370 جرام,SR 4.50 ريال
شطة كريستال حار 88مل,SR 1.58 ريال
شطة اندوفود مبونغ حاره 140 مل,SR 3.70 ريال
مخلل بيراك ثوم زجاج 370 جرام,SR 6.50 ريال
طرشي بيدر مقتي 660 جرام,SR 9.40 ريال
كاتشب طماطم العلالي 395 جرام,SR 8.93 ريال
مايونيز مازولا ضغاط 750مل,SR 13.80 ريال
خردل فرشلي عضوي 284 جرام,SR 14.95 ريال
صلصة سلطة هيرمان الرانش 237مل,SR 2.95 ريال
زيتون بيراك اخضر محشي فلفل 720مل,SR 13.75 ريال
صلصة اندوفود حارة 340مل,SR 7.50 ريال
صلصة فرشلي رانش 473مل,SR 13.60 ريال
صلصة صويا كيكومان 1لتر,SR 26.90 ريال
طرشي بيدر مشكل 1000جرام,SR 11.50 ريال
صلصة باربكيو ح امريكا اصلي510ج,SR 11.50 ريال
مكرونة العلالي 450جرام,SR 4.15 ريال
ارز المهيدب بنجابي 5 كيلو,SR 46.95 ريال
مكرونة قودي #36 500 جرام,SR 4.15 ريال
مكرونة الوفرة # 14 400 جرام,SR 1.95 ريال
ارز انديا جيث عنبر كلاسيك 10 كيلو,SR 123.38 ريال
شعيرية مكاتي فاصوليا خضراء227 جرام,SR 4.50 ريال
مكرونة بيرفيتو سباغتي 450جرام,SR 4.95 ريال
مكرونة هالي ريسوني 400جرام #107,SR 2.37 ريال
