item,price
"____ ___ ____ ______ 1,75___","SR 
                    9.00                 ____ SR 
                    6.95                 ____"
____ ______ ___ ______ 180__,SR 1.57 ____
____ ______ ______ ______180__,SR 1.00 ____
____ _____ ______ _____ 180__,SR 1.57 ____
"____ _____ ___ _____ 1,8___",SR 10.00 ____
"_______________ ____ _______ 1,8___",SR 10.00 ____
"____ _______ ____ ____ 1,75___",SR 8.40 ____
____ _______ ____ 300__,SR 2.00 ____
"____ ______ ____ ____ 1,75___",SR 12.60 ____
____ ___ ____ _______ 1.75_,SR 6.50 ____
____ ___ ____ 300__,SR 2.00 ____
____ ____ ____ _______ 1.75 ___,SR 9.45 ____
____ ____ ____ 200__,SR 1.05 ____
____ _____ ___ 710__,SR 13.50 ____
____ ____ ___ ____ 710__,SR 13.50 ____
____ _____ _______,SR 15.23 ____
___ __ - _____ ______ 250__,SR 10.00 ____
___ __ - ___ __ _____ 250__,SR 9.98 ____
___ __ - _____ ______ 250x4__,SR 38.80 ____
___ __ - _____ ______ 250x6__,SR 57.75 ____
____ _____ ______ ________ 2.5 ___,SR 52.50 ____
